ÅR;MÅNED_KODE;MÅNED;FYLKE;ARTSID;UTSETTSÅR;BEHFISK_STK;BIOMASSE_KG;UTSETT_SMOLT_STK;FORFORBRUK_KG;UTTAK_STK;UTTAK_KG;DØDFISK_STK;UTKAST_STK;RØMMING_STK;ANDRE_STK
2005;1;JANUAR;01 Finnmark;LAKS;2002;95347;545829,398;0;29290;0;0;911;0;0;0
2005;1;JANUAR;01 Finnmark;LAKS;2003;2238516;10186245,25;0;625198;705419;3352492;28167;0;0;0
2005;1;JANUAR;01 Finnmark;REGNBUEØRRET;2003;53523;129632,706;0;12627;0;0;45;0;0;0
2005;1;JANUAR;01 Finnmark;LAKS;2004;6872490;9591619,88;0;961333;0;0;35681;34;0;0
2005;1;JANUAR;01 Finnmark;REGNBUEØRRET;2004;284070;352301,491;0;40811;0;0;445;0;0;0
2005;1;JANUAR;02 Troms;LAKS;2002;68876;329728,93;0;30300;0;0;217;0;0;0
2005;1;JANUAR;02 Troms;REGNBUEØRRET;2002;0;0;0;0;40503;178515,07;61;520;0;659
2005;1;JANUAR;02 Troms;LAKS;2003;3891977;15865193,35;0;1460355;598508;3297827;11343;1344;0;2447
2005;1;JANUAR;02 Troms;REGNBUEØRRET;2003;41340;126087;0;20754;0;0;90;0;0;0
2005;1;JANUAR;02 Troms;LAKS;2004;13129313;14373064,99;0;1501504;0;0;93336;0;0;0
2005;1;JANUAR;02 Troms;REGNBUEØRRET;2004;172971;408187,43;0;45900;0;0;251;0;0;0
2005;1;JANUAR;03 Nordland;LAKS;2000;0;0;0;0;0;0;0;0;0;0
2005;1;JANUAR;03 Nordland;LAKS;2001;813358;1713688,589;0;143375;0;0;447;0;0;0
2005;1;JANUAR;03 Nordland;LAKS;2002;55723;227294,117;0;16500;33800;205200;362;0;0;0
2005;1;JANUAR;03 Nordland;REGNBUEØRRET;2002;0;0;0;0;12810;54255;0;0;0;0
2005;1;JANUAR;03 Nordland;LAKS;2003;8267471;35344777,27;0;4285735;1036239;5831470;28376;3578;0;0
2005;1;JANUAR;03 Nordland;REGNBUEØRRET;2003;1248499;3774282,59;0;411137;177231;710327;3428;0;0;0
2005;1;JANUAR;03 Nordland;LAKS;2004;21145941;28390102;0;4232088;68965;368480;197456;51;0;0
2005;1;JANUAR;03 Nordland;REGNBUEØRRET;2004;1897132;988119,625;0;194769;0;0;9091;0;0;0
2005;1;JANUAR;03 Nordland;REGNBUEØRRET;2005;335652;59323,84;278300;26873;0;0;1548;0;0;0
2005;1;JANUAR;04 Trøndelag;LAKS;2002;5974;65009,068;0;10035;0;0;2;0;0;0
2005;1;JANUAR;04 Trøndelag;LAKS;2003;9197859;38389257,92;0;4401085;1080948;5723658;65856;5797;0;0
2005;1;JANUAR;04 Trøndelag;REGNBUEØRRET;2003;341159;1319451,192;0;121752;193679;889949;3181;248;0;0
2005;1;JANUAR;04 Trøndelag;LAKS;2004;25472907;28284295,29;0;3471241;119166;220768;214776;86;0;0
2005;1;JANUAR;04 Trøndelag;REGNBUEØRRET;2004;662864;799076,88;0;106000;0;0;1619;0;0;0
2005;1;JANUAR;06 Møre og Romsdal;LAKS;2003;4652630;18648345,57;0;2241757;1050587;5787753,375;39307;9508;0;0
2005;1;JANUAR;06 Møre og Romsdal;REGNBUEØRRET;2003;507597;1718554,946;0;270986;203831;989425;1597;0;0;0
2005;1;JANUAR;06 Møre og Romsdal;LAKS;2004;15310981;17932058,6;0;2196800;33081;28674,875;152093;64;0;0
2005;1;JANUAR;06 Møre og Romsdal;REGNBUEØRRET;2004;4557430;4703975,45;0;1064508;183935;600942,076;14736;1008;0;0
2005;1;JANUAR;06 Møre og Romsdal;LAKS;2005;175288;20605,837;176095;3650;0;0;807;0;0;0
2005;1;JANUAR;06 Møre og Romsdal;REGNBUEØRRET;2005;65328;8949,936;67000;480;0;0;1672;0;0;0
2005;1;JANUAR;07 Sogn og Fjordane;LAKS;2003;3734464;13931247,09;0;1798977;594747;3196066;13217;15348;0;0
2005;1;JANUAR;07 Sogn og Fjordane;REGNBUEØRRET;2003;681521;2538886,608;0;434710;14700;54400;1720;50;0;0
2005;1;JANUAR;07 Sogn og Fjordane;LAKS;2004;12868451;14318113,28;0;1929726;0;0;69774;0;0;0
2005;1;JANUAR;07 Sogn og Fjordane;REGNBUEØRRET;2004;2775327;2163728,268;0;408512;0;0;6984;0;0;0
2005;1;JANUAR;08 Hordaland;LAKS;2000;0;0;0;0;0;0;0;0;0;0
2005;1;JANUAR;08 Hordaland;LAKS;2002;1139;11731,7;0;700;0;0;15;0;0;0
2005;1;JANUAR;08 Hordaland;LAKS;2003;8403565;31021453,6;0;3907281;1400422;6310481;98317;78247;0;0
2005;1;JANUAR;08 Hordaland;REGNBUEØRRET;2003;650496;2563614,327;0;314590;211540;950220;5474;2104;0;0
